Category & Date,Month & Year,Month & Year (from Month & Year),Transaction Type,Total Revenue (from P&L),Total Profit (from P&L),Category,Category (from Category),% Allocation,Allocated Amount,Account Balance*,Actual Allocation*,Allocation Transferred,New Account Balance,Variance $,Variance,Expenses,Previous Month Reserve,DateClean
Emergency Reserve Allocation – March 2024,March 2024,March 2024,Credit,$58230.04,$42126.93,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$3791.42,$33153.83,$2239.99,checked,$35393.82,$1551.43,104.38%,,,2024/03/1
Emergency Reserve Allocation – February 2024,February 2024,February 2024,Credit,$62652.09,$46972.65,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$4227.54,$28926.25,$4227.58,checked,$33153.83,-$0.04,100.00%,,,2024/02/1
Emergency Reserve Allocation – January 2024,January 2024,January 2024,Credit,$61377.94,$44527.22,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$4007.45,$24837.41,$4088.84,checked,$28926.25,-$81.39,99.72%,,,2024/01/1
Emergency Reserve Allocation – December 2023,December 2023,December 2023,Credit,$39567.19,$19638.62,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$1767.48,$23067.47,$1769.94,checked,$24837.41,-$2.46,99.99%,,,2023/12/1
Emergency Reserve Allocation – November 2023,November 2023,November 2023,Credit,$59685.42,$44286.14,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$3985.75,$19203.70,$3863.77,checked,$23067.47,$121.98,100.53%,,,2023/11/1
Emergency Reserve Allocation – October 2023,October 2023,October 2023,Credit,$27827.96,$8988.13,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$808.93,$17561.67,$1642.03,checked,$19203.70,-$833.10,95.66%,,,2023/10/1
Emergency Reserve Allocation – September 2023,September 2023,September 2023,Credit,$31632.02,$5736.31,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$516.27,$16904.17,$657.50,checked,$17561.67,-$141.23,99.20%,,,2023/09/1
Emergency Reserve Allocation – August 2023,August 2023,August 2023,Credit,$35680.07,$16004.55,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$1440.41,$15462.86,$1441.31,checked,$16904.17,-$0.90,99.99%,,,2023/08/1
Emergency Reserve Allocation – July 2023,July 2023,July 2023,Credit,$15595.77,$939.49,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$84.55,$14457.35,$1005.51,checked,$15462.86,-$920.96,94.04%,,,2023/07/1
Emergency Reserve Allocation – June 2023,June 2023,June 2023,Credit,$11718.91,-$12710.71,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,-$1143.96,$15422.75,-$965.40,checked,$14457.35,-$178.56,98.76%,,,2023/06/1
Emergency Reserve Allocation – May 2023,May 2023,May 2023,Credit,$32999.32,$15260.65,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$1373.46,$14062.87,$1359.88,checked,$15422.75,$13.58,100.09%,,,2023/05/1
Emergency Reserve Allocation – April 2023,April 2023,April 2023,Credit,$27474.18,$8093.24,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$728.39,$13150.49,$912.38,checked,$14062.87,-$183.99,98.69%,,,2023/04/1
Emergency Reserve Allocation – March 2023,March 2023,March 2023,Credit,$36227.19,$21226.17,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$1910.36,$11240.58,$1909.91,checked,$13150.49,$0.45,100.00%,,,2023/03/1
Emergency Reserve Allocation – February 2023,February 2023,February 2023,Credit,$36852.32,$23829.82,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$2144.68,$9098.60,$2141.98,checked,$11240.58,$2.70,100.02%,,,2023/02/1
Emergency Reserve Allocation – January 2023,January 2023,January 2023,Credit,$34247.69,$23643.42,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$2127.91,$6970.69,$2127.91,checked,$9098.60,-$0.00,100.00%,,,2023/01/1
Emergency Reserve Allocation – December 2022,December 2022,December 2022,Credit,$31366.75,$24310.08,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$2187.91,$4782.78,$2187.91,checked,$6970.69,-$0.00,100.00%,,,2022/12/1
Emergency Reserve Allocation – November 2022,November 2022,November 2022,Credit,$22999.58,$14747.22,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$1327.25,$3463.73,$1319.05,checked,$4782.78,$8.20,100.17%,,,2022/11/1
Emergency Reserve Allocation – October 2022,October 2022,October 2022,Credit,$51460.03,$24423.81,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$2198.14,$1165.14,$2298.59,checked,$3463.73,-$100.45,97.10%,,,2022/10/1
Emergency Reserve Allocation – September 2022,September 2022,September 2022,Credit,$14678.45,$13009.36,Emergency Reserve Allocation,Emergency Reserve Allocation,9.00%,$1170.84,$0.00,$1165.14,checked,$1165.14,$5.70,0.00%,,,2022/09/1
Internal Team Salary – January 2025,January 2025,January 2025,Debit,$50628.81,$19799.41,Internal Team Salary,Internal Team Salary,,$0.00,,-$6500.00,,-$6500.00,$6500.00,0.00%,,,2025/01/1
